place,magnitude,time,latitude,longitude,depth
"40 km SSW of Atka, Alaska",1.7,2015-10-20 17:37:52.374,51.8908,-174.513,65.4
"6km SSW of Cabazon, CA",0.79,2015-10-20 17:36:52.470,33.869,-116.8246667,13.25
"25 km SSE of Mossyrock, Washington",1.01,2015-10-20 17:34:22.970,46.317,-122.365,1.63
"34 km ESE of P?hala, Hawaii",1.44,2015-10-20 17:24:53.040,19.06,-155.1883333,9.54
"2 km E of San Ramon, California",1.87,2015-10-20 17:18:02.610,37.7816667,-121.9551667,5.65
"1 km NE of San Ramon, California",0.78,2015-10-20 17:13:21.590,37.7861667,-121.9693333,9.64
"1 km WSW of Blackhawk, California",0.82,2015-10-20 17:12:07.210,37.8136667,-121.9225,7.66
"1 km ENE of San Ramon, California",0.84,2015-10-20 16:58:07.380,37.7878333,-121.9618333,6.17
"91 km ENE of Dawson City, Canada",2.4,2015-10-20 16:46:24.873,64.3618,-137.6918,4.0
"88 km W of Coquimbo, Chile",4.3,2015-10-20 16:43:31.070,-29.9607,-72.2611,10.0
"9 km W of Cobb, California",0.52,2015-10-20 16:41:39.890,38.8176667,-122.8335,4.24
"7km NW of Delta, B.C., MX",2.68,2015-10-20 16:40:21.390,32.3918333,-115.2543333,5.68
"2 km ESE of Covington, Oklahoma",2.5,2015-10-20 16:36:21.600,36.2995,-97.5564,5.0
"11 km W of Aspen Springs, California",0.63,2015-10-20 16:23:07.360,37.5618333,-118.846,7.66
"106 km S of McCarthy, Alaska",1.2,2015-10-20 16:13:56.893,60.4784,-143.1232,8.3
"23 km S of Akutan, Alaska",1.8,2015-10-20 16:09:36.534,53.928,-165.7181,66.5
"13 km WSW of Aspen Springs, California",0.68,2015-10-20 16:05:32.610,37.5113333,-118.8595,5.08
Molucca Sea,4.4,2015-10-20 16:03:59.830,2.5729,126.8569,70.47
"2 km NE of San Ramon, California",1.8,2015-10-20 15:45:58.470,37.7945,-121.9636667,5.92
"56 km SW of F?rs?n, Iran",4.8,2015-10-20 15:42:22.780,31.8487,50.1964,10.0
"25 km E of Honaunau-Napoopoo, Hawaii",2.14,2015-10-20 15:33:20.940,19.4253333,-155.6238333,-0.534
"37km WSW of Tecopa, CA",0.93,2015-10-20 15:27:49.520,35.7276667,-116.6121667,2.46
"20 km NW of Susitna, Alaska",1.4,2015-10-20 15:19:59.961,61.6482,-150.8228,61.3
"10 km ESE of Behbah?n, Iran",4.5,2015-10-20 15:17:05.690,30.5547,50.3419,10.0
"88 km E of Luganville, Vanuatu",4.3,2015-10-20 15:16:49.430,-15.4909,167.9871,29.67
"51 km N of Valdez, Alaska",1.7,2015-10-20 15:12:53.191,61.5832,-146.1876,30.2
"42 km NNE of Chickaloon, Alaska",1.5,2015-10-20 15:08:18.932,62.1565,-148.2105,42.1
"1 km ENE of San Ramon, California",0.83,2015-10-20 15:08:08.590,37.785,-121.9591667,7.33
"10 km SW of San Simeon, California",0.85,2015-10-20 14:58:22.720,35.5808333,-121.2828333,1.99
"10 km SW of San Simeon, California",1.09,2015-10-20 14:58:13.620,35.585,-121.2836667,6.75
"7 km S of Cobb, California",1.24,2015-10-20 14:57:35.170,38.759,-122.7258333,0.94
"18 km NNE of P?hala, Hawaii",1.57,2015-10-20 14:44:55.980,19.3605,-155.4305,10.92
Northern California,1.48,2015-10-20 14:26:25.780,38.8366667,-122.8046667,1.3
"36 km SSW of Trapper Creek, Alaska",1.6,2015-10-20 14:25:08.471,62.0266,-150.5367,16.9
"2 km NE of San Ramon, California",1.29,2015-10-20 14:15:05.330,37.7951667,-121.9588333,6.38
"2 km NE of San Ramon, California",1.1,2015-10-20 14:04:36.380,37.7941667,-121.9626667,6.96
"2 km NE of San Ramon, California",1.69,2015-10-20 14:02:05.950,37.7981667,-121.9625,8.18
"5km SW of Palomar Observatory, CA",1.13,2015-10-20 14:00:45.360,33.3208333,-116.9005,18.1
"2 km NE of San Ramon, California",1.82,2015-10-20 14:00:07.580,37.7965,-121.96,6.9
"105 km NE of Codrington, Antigua and Barbuda",4.6,2015-10-20 13:57:50.080,18.2404,-61.0634,38.09
"70 km WSW of Panguna, Papua New Guinea",4.5,2015-10-20 13:52:02.500,-6.5922,154.9063,46.24
"Kenai Peninsula, Alaska",1.6,2015-10-20 13:50:21.210,59.8225,-151.9644,64.8
"14 km W of Lakeview, Oregon",2.12,2015-10-20 13:43:49.880,42.166,-120.5191667,6.65
"3 km NNW of Willow, Alaska",1.5,2015-10-20 13:29:28.921,61.7742,-150.0688,39.8
"2 km NE of San Ramon, California",0.75,2015-10-20 13:09:46.250,37.7946667,-121.9626667,7.13
"34 km NNW of Paxson, Alaska",1.1,2015-10-20 13:09:10.607,63.3498,-145.9803,21.0
"4km SSE of Loma Linda, CA",1.07,2015-10-20 13:08:12.040,34.0138333,-117.2523333,11.54
"43 km E of Fort Bidwell, California",1.6,2015-10-20 13:07:47.356,41.8642,-119.6257,10.6
"60 km NE of Chase, Alaska",1.2,2015-10-20 13:07:03.733,62.7807,-149.1794,65.5
"1 km E of San Ramon, California",0.81,2015-10-20 12:57:03.450,37.7816667,-121.9588333,7.09
"233 km SE of Nikolski, Alaska",3.9,2015-10-20 12:49:45.850,51.7363,-166.0508,55.01
"2 km E of Snoqualmie, Washington",1.31,2015-10-20 12:42:14.130,47.5251667,-121.7981667,19.32
"1 km ENE of San Ramon, California",1.12,2015-10-20 12:31:32.840,37.7885,-121.9595,7.28
"2 km NE of Freeport, Kansas",2.04,2015-10-20 12:31:29.710,37.2143333,-97.8313333,4.07
"2 km NNE of San Ramon, California",1.1,2015-10-20 12:20:59.250,37.8005,-121.9673333,8.06
"26 km E of Honaunau-Napoopoo, Hawaii",1.26,2015-10-20 12:17:57.040,19.4205,-155.613,-0.974
"6 km S of Argonia, Kansas",2.34,2015-10-20 12:16:31.250,37.207,-97.757,6.34
"15 km ENE of P?hala, Hawaii",1.76,2015-10-20 12:15:57.100,19.2391667,-155.3346667,0.69
"49 km SSW of Adak, Alaska",1.4,2015-10-20 12:11:35.874,51.4403,-176.783,34.0
"131 km SSE of King Cove, Alaska",2.5,2015-10-20 11:57:07.000,54.0392,-161.2861,26.9
"7 km SE of Pleasant Groves, Alabama",2.07,2015-10-20 11:56:19.760,34.6938333,-86.1308333,2.66
"2 km NNE of San Ramon, California",1.49,2015-10-20 11:55:15.550,37.7998333,-121.9623333,8.46
"5km SSE of Mentone, CA",1.17,2015-10-20 11:52:26.230,34.0256667,-117.1231667,7.04
"28 km ENE of Benton, California",0.9,2015-10-20 11:50:32.416,37.9232,-118.185,10.0
"2 km NNE of San Ramon, California",1.07,2015-10-20 11:49:59.810,37.802,-121.9653333,6.32
"19 km SE of Denali National Park, Alaska",0.8,2015-10-20 11:36:51.937,63.4289,-151.4317,4.4
"10 km ENE of Scipio, Utah",1.36,2015-10-20 11:35:10.480,39.2666667,-111.9855,6.59
"28 km NNE of Four Mile Road, Alaska",0.2,2015-10-20 11:32:49.247,64.8428,-148.9248,7.1
"117 km WSW of Adak, Alaska",1.7,2015-10-20 11:29:17.485,51.5567,-178.2484,22.3
"55 km SW of Unalaska, Alaska",1.6,2015-10-20 11:24:55.205,53.5255,-167.1264,8.8
"81 km NW of Karluk, Alaska",3.1,2015-10-20 11:21:58.172,57.9888,-155.5845,132.6
"8 km WSW of Cobb, California",1.16,2015-10-20 11:17:20.770,38.8013333,-122.8141667,1.18
"11 km SE of Elkhorn, Montana",0.97,2015-10-20 11:17:20.510,46.204,-111.8445,5.98
"2 km NE of San Ramon, California",1.07,2015-10-20 11:12:55.840,37.7921667,-121.9598333,8.48
"1 km E of San Ramon, California",1.82,2015-10-20 11:10:27.850,37.782,-121.9623333,8.25
"6 km WNW of Scofield, Utah",1.31,2015-10-20 11:07:29.380,39.744,-111.2316667,-3.32
Western Montana,1.5,2015-10-20 11:04:40.290,46.9701667,-113.0086667,19.06
"12km E of Coso Junction, CA",0.79,2015-10-20 11:00:56.700,36.0438333,-117.8116667,0.42
"10 km ENE of Mosquito Lake, Alaska",2.0,2015-10-20 10:58:39.769,59.5731,-135.9311,10.0
"17 km NNW of Condon, Montana",0.3,2015-10-20 10:56:56.040,47.6775,-113.7765,7.3
"71 km SW of Nikolski, Alaska",2.5,2015-10-20 10:48:22.000,52.423,-169.4848,29.5
"5 km W of Mammoth Lakes, California",0.45,2015-10-20 10:39:07.910,37.647,-119.0346667,2.6
"95 km WSW of Adak, Alaska",1.6,2015-10-20 10:37:29.664,51.4198,-177.8068,22.3
"12km SSW of Borrego Springs, CA",0.91,2015-10-20 10:24:30.170,33.1586667,-116.416,11.02
"52 km ESE of Adak, Alaska",1.9,2015-10-20 10:12:35.386,51.632,-175.9879,50.0
"9 km NNE of Johnstonville, California",2.13,2015-10-20 10:09:49.990,40.4678333,-120.5463333,11.34
"58 km E of Madang, Papua New Guinea",4.0,2015-10-20 10:08:52.990,-5.3026,146.3114,10.0
Puerto Rico region,3.1,2015-10-20 10:07:56.100,18.9988,-65.3933,44.0
"14 km SSW of Orderville, Utah",1.7,2015-10-20 10:07:51.520,37.1535,-112.6935,9.21
"10 km NE of Wakita, Oklahoma",2.8,2015-10-20 10:07:50.700,36.9521,-97.8368,1.197
"Near the coast of Coquimbo, Chile",5.0,2015-10-20 10:06:14.040,-30.7867,-71.4045,46.02
"9 km NW of Orderville, Utah",0.66,2015-10-20 10:02:59.950,37.3431667,-112.7021667,6.02
"14km WNW of Anza, CA",0.25,2015-10-20 10:02:47.470,33.6006667,-116.8146667,8.49
"48 km SSE of Denali National Park, Alaska",2.5,2015-10-20 10:01:40.354,63.1449,-151.3,10.8
"11 km W of Aspen Springs, California",1.88,2015-10-20 09:52:20.490,37.5551667,-118.8483333,7.65
"3 km WSW of Cushing, Oklahoma",2.5,2015-10-20 09:49:04.000,35.9789,-96.8028,5.0
"91 km SW of Atka, Alaska",1.4,2015-10-20 09:47:02.629,51.6057,-175.1249,25.5
"31 km ESE of Clam Gulch, Alaska",1.8,2015-10-20 09:44:58.911,60.1436,-150.8533,57.8
"39 km SSW of Dry Creek, Alaska",1.6,2015-10-20 09:35:14.389,63.3217,-144.9598,2.1
"Bonin Islands, Japan region",5.7,2015-10-20 09:29:08.790,27.0743,140.2123,304.0
"1 km NE of San Ramon, California",0.97,2015-10-20 09:26:20.100,37.7891667,-121.9691667,8.47
"3km NE of Carson, CA",1.72,2015-10-20 09:24:28.430,33.854,-118.2591667,12.55
"22 km ENE of San Ardo, California",1.08,2015-10-20 09:15:40.920,36.0858333,-120.6635,2.53
"14km WNW of Anza, CA",0.36,2015-10-20 09:11:23.460,33.6016667,-116.818,8.54
"2 km NNE of San Ramon, California",0.83,2015-10-20 09:11:21.490,37.7963333,-121.9673333,8.52
"5 km NE of Meadow Lakes, Alaska",1.4,2015-10-20 09:09:50.043,61.6593,-149.5268,30.7
"1 km E of San Ramon, California",2.24,2015-10-20 09:05:29.760,37.7793333,-121.9606667,6.62
"14km WNW of Anza, CA",0.33,2015-10-20 09:04:22.180,33.605,-116.8175,9.18
"14km WNW of Anza, CA",2.15,2015-10-20 09:01:54.480,33.587,-116.8231667,8.07
"14km S of Llano, CA",0.61,2015-10-20 08:58:08.470,34.3713333,-117.7931667,6.7
"174 km E of Yamada, Japan",4.7,2015-10-20 08:36:45.300,39.4465,143.9767,24.2
"1 km ESE of Government Camp, Oregon",0.94,2015-10-20 08:36:24.050,45.3005,-121.7353333,10.29
"2 km SSE of Government Camp, Oregon",0.89,2015-10-20 08:36:17.230,45.2828333,-121.7348333,10.48
"1 km NNE of San Ramon, California",0.87,2015-10-20 08:31:36.740,37.7945,-121.9706667,8.22
"58 km SSE of Lakatoro, Vanuatu",4.3,2015-10-20 08:28:15.330,-16.6063,167.5889,23.11
"17 km NNE of Nikiski, Alaska",1.6,2015-10-20 08:25:02.185,60.8408,-151.1848,78.1
"21 km WSW of Nephi, Utah",1.04,2015-10-20 08:21:39.820,39.6705,-112.0791667,3.6
"28 km SSE of Nikolski, Alaska",2.4,2015-10-20 08:05:47.335,52.727,-168.635,56.0
"18km N of Joshua Tree, CA",1.83,2015-10-20 08:03:34.870,34.2998333,-116.3246667,3.28
"42 km E of Fort Bidwell, California",2.0,2015-10-20 07:45:24.601,41.832,-119.6408,8.7
"16 km NNW of Howell, Utah",0.33,2015-10-20 07:33:33.550,41.9411667,-112.4966667,1.1
"2 km NNE of San Ramon, California",0.7,2015-10-20 07:31:31.150,37.7988333,-121.9666667,7.89
"4km SSW of Redlands, CA",0.78,2015-10-20 07:28:26.630,34.0243333,-117.1956667,9.73
"5 km NE of Meadow Lakes, Alaska",1.4,2015-10-20 07:11:28.187,61.6568,-149.5216,33.9
"12 km SSW of Willow, Alaska",1.3,2015-10-20 07:04:03.859,61.6432,-150.1052,49.2
"2 km NNE of San Ramon, California",0.76,2015-10-20 07:03:48.400,37.8045,-121.9665,6.27
eastern Missouri,2.49,2015-10-20 07:03:12.650,38.4053333,-90.124,22.68
"21 km SE of Adak, Alaska",1.7,2015-10-20 06:58:21.404,51.7365,-176.419,61.7
"45 km E of Fort Bidwell, California",1.0,2015-10-20 06:53:25.630,41.8623,-119.6017,6.7
"21 km S of Whittier, Alaska",1.4,2015-10-20 06:53:09.190,60.5809,-148.6559,10.2
"6 km WSW of Cobb, California",1.19,2015-10-20 06:50:37.480,38.8096667,-122.7965,2.83
"6 km SSE of Kenai, Alaska",1.5,2015-10-20 06:49:42.431,60.5063,-151.1972,51.5
"1 km NNE of San Ramon, California",1.27,2015-10-20 06:49:05.060,37.7938333,-121.9668333,7.55
"21km ENE of Arvin, CA",1.57,2015-10-20 06:41:23.200,35.3143333,-118.6335,5.46
"161 km WSW of Adak, Alaska",1.7,2015-10-20 06:33:44.069,51.4081,-178.8509,13.2
"10 km W of Beaver, Alaska",1.5,2015-10-20 06:31:23.860,66.3625,-147.6413,16.9
"Rat Islands, Aleutian Islands, Alaska",2.0,2015-10-20 06:30:29.222,51.4723,178.5591,43.3
"62 km SW of Nanwalek, Alaska",1.9,2015-10-20 06:26:57.580,59.0325,-152.8236,66.4
"3 km WNW of Entiat, Washington",0.97,2015-10-20 06:26:24.090,47.6893333,-120.256,-0.4
"2 km NNE of San Ramon, California",0.79,2015-10-20 06:25:09.740,37.7968333,-121.9645,8.03
"12km NNE of Cabazon, CA",2.44,2015-10-20 06:24:44.790,34.02,-116.7568333,15.41
"12km NNE of Cabazon, CA",1.67,2015-10-20 06:24:07.930,34.0225,-116.754,14.16
"2 km NE of San Ramon, California",1.64,2015-10-20 06:19:11.450,37.7948333,-121.9613333,6.75
"1 km NNE of San Ramon, California",0.77,2015-10-20 06:15:35.240,37.7925,-121.9683333,6.98
"1 km NNE of San Ramon, California",1.65,2015-10-20 06:14:08.210,37.7931667,-121.9678333,7.12
"1 km NNE of San Ramon, California",0.76,2015-10-20 06:12:10.200,37.7956667,-121.9735,8.17
"19km SW of La Quinta, CA",0.72,2015-10-20 06:11:10.570,33.5268333,-116.4391667,5.78
"2 km NE of San Ramon, California",1.11,2015-10-20 06:09:22.100,37.8,-121.9606667,7.16
"80 km SW of Nikolski, Alaska",3.5,2015-10-20 06:04:00.890,52.3718,-169.6111,36.43
"33 km ENE of Lee Vining, California",1.0,2015-10-20 06:02:15.035,38.0613,-118.7639,5.4
"60 km NW of Petersville, Alaska",1.3,2015-10-20 06:00:03.242,62.872,-151.613,12.0
"10 km W of Aspen Springs, California",0.64,2015-10-20 05:48:06.940,37.563,-118.8275,6.02
"6 km E of East Foothills, California",1.06,2015-10-20 05:42:11.720,37.3785,-121.7463333,2.22
"2 km NNE of San Ramon, California",0.68,2015-10-20 05:41:53.770,37.8033333,-121.9646667,6.77
"62 km NW of Petersville, Alaska",1.5,2015-10-20 05:37:23.361,62.8883,-151.6514,7.9
"30 km NNW of Chase, Alaska",1.5,2015-10-20 05:30:02.668,62.7161,-150.2641,76.2
"18km SW of La Quinta, CA",0.54,2015-10-20 05:13:36.600,33.5315,-116.4311667,7.51
"2 km NE of San Ramon, California",1.75,2015-10-20 05:05:13.020,37.7936667,-121.9618333,6.01
"2 km NE of San Ramon, California",0.79,2015-10-20 05:04:30.000,37.7956667,-121.9621667,6.64
"27 km ENE of Beluga, Alaska",1.8,2015-10-20 05:02:24.208,61.2559,-150.632,56.5
"2 km NNE of San Ramon, California",0.81,2015-10-20 05:02:11.650,37.7971667,-121.9638333,7.65
"2 km NNE of San Ramon, California",1.12,2015-10-20 04:53:33.200,37.797,-121.9645,7.34
"95 km WNW of Elfin Cove, Alaska",1.8,2015-10-20 04:50:12.900,58.6413,-137.7377,22.8
"1 km ESE of Canyondam, California",0.8,2015-10-20 04:50:08.672,40.1692,-121.0611,10.8
"1km SE of Loma Linda, CA",0.88,2015-10-20 04:46:59.450,34.04,-117.2531667,15.78
"35 km NNW of Rabaul, Papua New Guinea",4.2,2015-10-20 04:43:43.420,-3.9207,152.0151,5.94
"2 km NNE of San Ramon, California",1.11,2015-10-20 04:40:46.050,37.797,-121.9648333,8.08
"1 km NNE of San Ramon, California",1.1,2015-10-20 04:37:52.050,37.7945,-121.9668333,7.18
"8 km WSW of Hunnewell, Kansas",1.87,2015-10-20 04:35:52.010,36.9825,-97.4961667,5.14
Central Alaska,1.0,2015-10-20 04:35:12.039,62.3601,-149.0559,4.0
"1 km NE of San Ramon, California",2.79,2015-10-20 04:33:52.850,37.791,-121.9685,6.45
"1 km N of San Ramon, California",2.84,2015-10-20 04:33:04.380,37.7955,-121.979,5.87
"46 km ESE of Fort Bidwell, California",1.4,2015-10-20 04:31:07.127,41.75,-119.6161,12.1
"19 km SE of Denali National Park, Alaska",1.0,2015-10-20 04:19:07.470,63.43,-151.4308,4.4
"12km NE of Thousand Palms, CA",0.79,2015-10-20 04:15:27.130,33.8955,-116.2935,8.12
"27 km SW of Ovalle, Chile",4.1,2015-10-20 04:15:20.810,-30.7412,-71.4384,40.53
"30 km ENE of Beluga, Alaska",1.1,2015-10-20 04:15:14.194,61.2676,-150.5768,43.9
"8 km W of Cobb, California",1.04,2015-10-20 04:13:07.050,38.8181667,-122.8208333,1.98
"1 km NNE of San Ramon, California",0.9,2015-10-20 04:12:42.890,37.7951667,-121.9695,6.26
"33 km SW of Ovalle, Chile",4.7,2015-10-20 04:06:54.010,-30.7726,-71.4885,40.42
"66 km SE of Denali National Park, Alaska",1.3,2015-10-20 04:05:02.937,63.203,-150.6366,131.8
"2 km NE of San Ramon, California",0.79,2015-10-20 04:02:27.760,37.795,-121.9616667,8.03
"15 km ESE of La Serena, Chile",3.9,2015-10-20 04:01:28.000,-29.973,-71.1056,92.26
"31 km SSE of Hawthorne, Nevada",0.3,2015-10-20 03:59:30.178,38.2615,-118.4924,8.8
"17km SW of Little Lake, CA",1.22,2015-10-20 03:58:36.230,35.8526667,-118.06,3.51
"31 km SSE of Hawthorne, Nevada",0.6,2015-10-20 03:54:16.117,38.2634,-118.4929,8.7
"193 km ENE of Neiafu, Tonga",4.5,2015-10-20 03:53:59.890,-17.7395,-172.4191,42.95
